time,port_target_error_x_mm,port_target_error_y_mm,port_target_error_z_mm,plug_tip_error_x_mm,plug_tip_error_y_mm,plug_tip_error_z_mm,port_marker_camera_count,plug_marker_camera_count
1.066999999999999993e+01,1.462429986731905718e-01,-1.052483295145678621e+00,-6.080025930432775283e-02,-9.056103497062650831e-02,8.425381781920204816e-01,2.322341496440172293e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.067999999999999972e+01,2.166937133232793578e-02,-3.568268234295790542e-01,3.475409157041031705e-01,-9.607537435413204818e-02,4.067581384797902544e-01,1.982867691973977387e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.068999999999999950e+01,1.715954033208733076e-02,-1.602195764236757913e+00,6.060501729278078287e-01,1.438834908147307301e+00,6.366986218414583121e-01,-1.123734291384570483e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.070000000000000107e+01,4.559267168197794762e-01,-6.198023595719304168e-01,2.583670615170508000e-01,-3.617954714605076116e-01,3.270240826549475344e-01,5.502181761768420998e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.071000000000000085e+01,-2.712654956031623765e-02,-4.819539946022688426e-01,7.537138566493517544e-03,-2.899133016729948942e-01,3.084804467330948263e-01,7.805876871325168054e-03,3.000000000000000000e+00,3.000000000000000000e+00
1.072000000000000064e+01,2.133212806218059976e-01,-3.120785901052913758e-01,-1.012950003855594971e+00,1.158464868405983950e-01,-5.770203047089639270e-01,-6.292404744145940754e-03,3.000000000000000000e+00,3.000000000000000000e+00
1.073000000000000043e+01,4.941442653569744214e-01,-4.478129579671419336e-01,7.604144488119191081e-01,3.019769536394267817e-02,8.728421176767975354e-02,2.242500583679030157e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.074000000000000021e+01,1.249380840030275941e+00,-4.396814576795859963e-02,-3.193853181676642450e-01,-4.303954016329492038e-01,-3.515420113933687141e-01,1.020776712512105888e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.075000000000000000e+01,6.268725389039497831e-01,-2.727132931301667895e-01,4.760590796238917122e-01,6.405620768829278777e-01,1.379999768551409822e+00,1.607156606785453690e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.075999999999999979e+01,9.709245522012688312e-01,-7.092106787714436145e-01,2.789075534687102120e-01,4.697570557061492291e-01,-1.237541378320439200e+00,3.594140069594908837e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.076999999999999957e+01,8.972224149149110595e-01,2.416877499426539622e-01,5.082722014765339580e-01,2.504853924434335966e-02,1.068108261741917975e+00,4.127182045025046264e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.077999999999999936e+01,4.462607547929126062e-01,2.795940618914860565e-01,1.722454238665127590e-01,-7.769765098561420835e-02,3.425760597683402686e-01,5.714037746966660336e-01,3.000000000000000000e+00,3.000000000000000000e+00
