time,x_error_mm,y_error_mm,z_error_mm
4.121999999999999886e+01,1.444780352324176453e-02,1.900074832102622793e+02,1.780033290555438441e+01
4.123000000000000398e+01,1.444780352380381494e-02,1.900074832102620519e+02,1.780033290555771330e+01
4.124000000000000199e+01,1.444780352433117088e-02,1.900074832102620519e+02,1.780033290556071179e+01
4.125000000000000000e+01,1.444780352477526009e-02,1.900074832102620519e+02,1.780033290556304237e+01
4.125999999999999801e+01,1.444780352513608257e-02,1.900074832102620519e+02,1.780033290556515269e+01
4.127000000000000313e+01,1.444780352539976054e-02,1.900074832102620519e+02,1.780033290556648495e+01
4.128000000000000114e+01,1.444780352558017178e-02,1.900074832102620519e+02,1.780033290556759340e+01
4.128999999999999915e+01,1.444780352570507187e-02,1.900074832102620519e+02,1.780033290556837144e+01
4.130000000000000426e+01,1.444780352577446081e-02,1.900074832102620519e+02,1.780033290556848158e+01
4.131000000000000227e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.132000000000000028e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556870540e+01
4.132999999999999829e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556870540e+01
4.134000000000000341e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556870540e+01
4.135000000000000142e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556870540e+01
4.135999999999999943e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.136999999999999744e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.138000000000000256e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.139000000000000057e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.139999999999999858e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.141000000000000369e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.142000000000000171e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.142999999999999972e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.143999999999999773e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.145000000000000284e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.146000000000000085e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.146999999999999886e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.148000000000000398e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.149000000000000199e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.150000000000000000e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.150999999999999801e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.152000000000000313e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.153000000000000114e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.153999999999999915e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.155000000000000426e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.156000000000000227e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.157000000000000028e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.157999999999999829e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.159000000000000341e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.160000000000000142e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.160999999999999943e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.161999999999999744e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.163000000000000256e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.164000000000000057e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.164999999999999858e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.166000000000000369e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.167000000000000171e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.167999999999999972e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.168999999999999773e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.170000000000000284e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.171000000000000085e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.171999999999999886e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.173000000000000398e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.174000000000000199e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.175000000000000000e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.175999999999999801e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.177000000000000313e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.178000000000000114e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.178999999999999915e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.180000000000000426e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.181000000000000227e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.182000000000000028e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.182999999999999829e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.184000000000000341e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.185000000000000142e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.185999999999999943e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.186999999999999744e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.188000000000000256e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.189000000000000057e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.189999999999999858e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.191000000000000369e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.192000000000000171e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.192999999999999972e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.193999999999999773e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.195000000000000284e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.196000000000000085e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.196999999999999886e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.198000000000000398e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.199000000000000199e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.200000000000000000e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
