time,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6
8.839999999999999858e+00,-7.772453484645080492e-03,-8.748060287692905517e-04,-8.269145980262206574e-04,-8.129189768679528872e-04,7.492538175699706713e-04,6.710351894786739560e-09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.849999999999999645e+00,-7.773401145454300609e-03,-8.772789295383586101e-04,-8.285747353251660986e-04,-8.130075350830862687e-04,7.492958938631342006e-04,-5.123513236589682173e-09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.859999999999999432e+00,-7.771035473306394867e-03,-8.751876874452322848e-04,-8.287330783358656892e-04,-8.129692651745245658e-04,7.491808884146475191e-04,-1.818437384412712035e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.870000000000000995e+00,-7.765888749426528084e-03,-8.693939053667207100e-04,-8.276991824104985894e-04,-8.128220921392874561e-04,7.489297312972945965e-04,-3.216789126904380519e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.880000000000000782e+00,-7.758713806121091301e-03,-8.609313603916584658e-04,-8.255506270119583948e-04,-8.125568007669332080e-04,7.485550923589166621e-04,-4.270966409306764786e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.890000000000000568e+00,-7.750699882502652335e-03,-8.508990175990895164e-04,-8.225925924355382635e-04,-8.121997281707987173e-04,7.480868731718865947e-04,-4.944869543091762948e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.900000000000000355e+00,-7.742280084793929512e-03,-8.400959872569742099e-04,-8.192256957203209030e-04,-8.117885535679221064e-04,7.475501863232610024e-04,-5.545159648435607364e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.910000000000000142e+00,-7.733608310351264108e-03,-8.289989316845237542e-04,-8.156608119317999579e-04,-8.113407584704575770e-04,7.469589290849614578e-04,-6.178910110178234500e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.919999999999999929e+00,-7.724863029695280305e-03,-8.179960850840199953e-04,-8.120573809265021819e-04,-8.108675213921950984e-04,7.463244797691311397e-04,-6.857320223611331218e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.929999999999999716e+00,-7.716202745485012393e-03,-8.073859876938818507e-04,-8.084850308909971800e-04,-8.103715688093062397e-04,7.456542827843188562e-04,-7.497088343024493531e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.939999999999999503e+00,-7.683149585182936191e-03,-7.619243512504017893e-04,-7.992199840856442378e-04,-8.119412308901297667e-04,7.466112541551327012e-04,-3.123047133464587175e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.950000000000001066e+00,-7.638401210959907053e-03,-7.026456061839161113e-04,-7.791492169460289890e-04,-8.116465056908612162e-04,7.460106774514750931e-04,-4.125668653626694427e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.960000000000000853e+00,-7.603289747322425352e-03,-6.572026412537998030e-04,-7.605053580018878703e-04,-8.106803316867421290e-04,7.450201386394278381e-04,-4.149949774433013507e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.970000000000000639e+00,-7.585846361818908423e-03,-6.353129543614651452e-04,-7.495439571005691306e-04,-8.097992896280715698e-04,7.442441693489622876e-04,-3.699148039599789814e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.980000000000000426e+00,-7.585584927388677387e-03,-6.362661334323214219e-04,-7.470707397386885593e-04,-8.092268849468951895e-04,7.438495359142711710e-04,-2.999564548145858631e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.990000000000000213e+00,-7.599350287096168395e-03,-6.556145904405021561e-04,-7.508702528199312758e-04,-8.089106915229513474e-04,7.437955020990098332e-04,-2.114701395737143692e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,-7.622164654077455241e-03,-6.864282061372579740e-04,-7.597276962552951436e-04,-8.089487908293031739e-04,7.440483418139207843e-04,-1.387089967921370201e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.009999999999999787e+00,-7.648983360642605880e-03,-7.222905006087687379e-04,-7.714193954359618291e-04,-8.092260599019485481e-04,7.444807723901230526e-04,-8.454207023360131673e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.019999999999999574e+00,-7.675651308733461888e-03,-7.579751155580194584e-04,-7.838075745393273267e-04,-8.096174762360737942e-04,7.449777391113070624e-04,-4.718343654884274693e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.029999999999999361e+00,-7.699264713574602119e-03,-7.897677124280088690e-04,-7.952889657810723089e-04,-8.100310878558182257e-04,7.454573955002692957e-04,-2.448166025334781055e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.040000000000000924e+00,-7.718161579826350420e-03,-8.154665684251975787e-04,-8.048428371505683254e-04,-8.104067624268171616e-04,7.458690487044105375e-04,-1.381969412717859970e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.050000000000000711e+00,-7.731717652382072772e-03,-8.341609783912138807e-04,-8.119696944062889310e-04,-8.107109359991454545e-04,7.461873773867442943e-04,-1.234893502561338402e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.060000000000000497e+00,-7.740070303441074287e-03,-8.459172549678301185e-04,-8.165807075280504890e-04,-8.109302844452298108e-04,7.464057457352756214e-04,-1.731639396444488962e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.070000000000000284e+00,-7.743879704327530714e-03,-8.514670709179700215e-04,-8.190085226360140861e-04,-8.110780493635200150e-04,7.465345428995881103e-04,-2.790252556820822249e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
