time,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z
9.349999999999999645e+00,2.826449985675933418e-01,4.027661007799361315e-01,9.648834865081944434e-01,-1.384661124574080304e-01,3.447237978576572770e-01,9.702961255376066907e-01
9.359999999999999432e+00,2.826782810135965440e-01,4.027354343827818095e-01,9.648555685593220854e-01,-1.382875780951672018e-01,3.451069899626648674e-01,9.701799094927543443e-01
9.370000000000000995e+00,2.827044138174381605e-01,4.027110747032291993e-01,9.648334185102463989e-01,-1.381006077094277806e-01,3.454529276422864115e-01,9.700829128511295751e-01
9.380000000000000782e+00,2.826814027534976237e-01,4.027381021021009255e-01,9.648539433837701740e-01,-1.378354822842720317e-01,3.454240948482737994e-01,9.700912897389466494e-01
9.390000000000000568e+00,2.826065019312383186e-01,4.028146602172568702e-01,9.649204482360097535e-01,-1.376449275466312405e-01,3.452580235285529486e-01,9.700960529576242442e-01
9.400000000000000355e+00,2.825091986583988524e-01,4.029089526155832934e-01,9.650047915335906445e-01,-1.375568251758591265e-01,3.451089558636917798e-01,9.700948390464303461e-01
9.410000000000000142e+00,2.824090324165968169e-01,4.030021748021179739e-01,9.650896453785499096e-01,-1.375294268259855401e-01,3.449959390425711980e-01,9.700959153066811558e-01
9.419999999999999929e+00,2.823167691238720467e-01,4.030852077477301565e-01,9.651662014258340916e-01,-1.375320132797789585e-01,3.449084928601743316e-01,9.700982521087075927e-01
9.429999999999999716e+00,2.822373847569979444e-01,4.031547752242246596e-01,9.652309300500608868e-01,-1.375484361620246399e-01,3.448362273233522846e-01,9.700990922067007638e-01
9.439999999999999503e+00,2.821724149528151981e-01,4.032104453464429028e-01,9.652830825277388671e-01,-1.375708027288832513e-01,3.447735343935020014e-01,9.700969749511504370e-01
9.450000000000001066e+00,2.821213952756999044e-01,4.032534321292009505e-01,9.653235274798173116e-01,-1.375951896995150636e-01,3.447180922067508702e-01,9.700919167594255210e-01
9.460000000000000853e+00,2.820828233633024262e-01,4.032856277005280599e-01,9.653538757893744826e-01,-1.376196393653792704e-01,3.446690971290555239e-01,9.700846810847078006e-01
9.470000000000000639e+00,2.820547547830753454e-01,4.033090668379957777e-01,9.653759531233253588e-01,-1.376433010870358187e-01,3.446262719290430487e-01,9.700761235444139707e-01
